landmark_imagesA,landmark_imagesB,landmark_imagesC,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,imageA.started,imageB.started,imageC.started,textbox_resp.started,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,25.36666246799723,29.360579795997182,29.360579795997182,space,0.9576795700049843,,,,,,,,,,758306,001,2022-12-28_13h08.31.780,NameGenerationTask,2022.2.4,None,
images_NG/Landmark1.png,images_NG/Landmark5.png,images_NG/Landmark9.png,0,0,0,0,,,,,,30.614158083000802,30.614158083000802,30.614158083000802,30.614158083000802,30.614158083000802,30.614158083000802,return,10.954969479003921,,758306,001,2022-12-28_13h08.31.780,NameGenerationTask,2022.2.4,None,
images_NG/Landmark2.png,images_NG/Landmark6.png,images_NG/Landmark10.png,0,1,1,1,,,,,,41.630327535000106,41.630327535000106,41.630327535000106,41.630327535000106,41.630327535000106,41.630327535000106,return,8.003187128000718,,758306,001,2022-12-28_13h08.31.780,NameGenerationTask,2022.2.4,None,
images_NG/Landmark3.png,images_NG/Landmark7.png,images_NG/Landmark11.png,0,2,2,2,,,,,,49.69469220999599,49.69469220999599,49.69469220999599,49.69469220999599,49.69469220999599,49.69469220999599,return,0.30557187100930605,,758306,001,2022-12-28_13h08.31.780,NameGenerationTask,2022.2.4,None,
images_NG/Landmark4.png,images_NG/Landmark8.png,images_NG/Landmark12.png,0,3,3,3,,,,,,50.047549823000736,50.047549823000736,50.047549823000736,50.047549823000736,50.047549823000736,50.047549823000736,return,0.29754620300082024,,758306,001,2022-12-28_13h08.31.780,NameGenerationTask,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,50.3797144919954,,,,,,,
